"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","00:00:00_00:00:03","Broadcast","ARP","64","Who has 150.100.0.2? Tell 150.100.0.3 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"2","0.000000","00:00:00_00:00:02","00:00:00_00:00:03","ARP","64","150.100.0.2 is at 00:00:00:00:00:02 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"3","0.000026","150.100.12.3","150.100.0.2","TCP","64","49153  >  57300 [SYN] Seq=0 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"4","0.000026","00:00:00_00:00:02","Broadcast","ARP","64","Who has 150.100.0.3? Tell 150.100.0.2 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"5","0.000037","150.100.15.2","150.100.0.2","TCP","64","49153  >  57300 [SYN] Seq=0 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"6","0.000077","150.100.15.6","150.100.0.2","TCP","64","49153  >  57300 [SYN] Seq=0 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"7","0.000089","00:00:00_00:00:03","00:00:00_00:00:02","ARP","64","150.100.0.3 is at 00:00:00:00:00:03 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"8","0.000089","150.100.0.2","150.100.12.3","TCP","64","57300  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"9","0.000096","150.100.0.2","150.100.15.2","TCP","64","57300  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"10","0.000116","150.100.12.5","150.100.0.2","TCP","64","49153  >  57300 [SYN] Seq=0 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"11","0.000125","150.100.0.2","150.100.15.6","TCP","64","57300  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"12","0.000138","150.100.0.2","150.100.12.5","TCP","64","57300  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
